Quarter,Year,Date of incident,Route,Operator,Group name,Bus Garage,Borough,Casualty sex,Casualty age,Incident type,Casualty category,Details,TfL/Operator investigation status ,Investigation actions taken (if any),Inquest conclusion
Q1,2015,1/15/2015,149,Arriva London North,Arriva,Tottenham,Haringey,Male,Child,Collision,Pedestrian,A 13 year old child involved in a collision with a bus was seriously injured,,,
Q1,2015,2/10/2015,63,London Central,Go-Ahead,Peckham,Southwark,Male,Adult,Collision,Motorcyclist,A moped rider involved in a collision with a bus sustained fatal injuries.,Closed,In January 2017 the bus driver pleaded guilty to causing death by careless driving and was sentenced to 20 weeks' imprisonment and was disqualified from driving for two years with a requirement to take an extended test.,No inquest required
Q1,2015,2/27/2015,423,London United,RATP Dev,Hounslow Heath,Hounslow,Male,Adult,Collision,Motorcyclist,A motorcyclist involved in a collision with a bus was fatally injured.,Closed,The bus driver was prosecuted for causing death by careless driving and found not guilty.,The inquest was adjourned pending the outcome of the prosecution
Q1,2015,3/8/2015,297,Metroline,Metroline,West Perivale,Brent,Male,Adult,Medical,Passenger,After arriving at the bus terminus,,,
Q1,2015,3/22/2015,9,London United,RATP Dev,Stamford Brook,Westminster,Male,Elderly,Medical,Passenger,The bus driver was alerted to a passenger on the top deck who was unwell. The male was taken to hospital following a heart attack and passed away.,Closed,No corrective actions identified,No inquest as death was from natural causes
Q1,2015,3/29/2015,176,Arriva London South,Arriva,Norwood,Croydon,Male,Adult,Collision,Pedestrian,A pedestrian suffered fatal injuries when he was involved in a collision with a bus following a collision with a private car.,Closed,No corrective actions identified,In April 2016 the Coroner returned a verdict of ‘Death by Road Traffic Collision’
Q2,2015,4/14/2015,83,Metroline,Metroline,Alperton,Ealing,Male,Adult,Collision,Pedestrian,A pedestrian was involved in a collision with a bus and fatally injured after he fell backwards into the path of the bus.,Closed,No additional actions identified.,Inquest date: 16/12/15 - conclusion was 'Road Traffic Collision'.
Q2,2015,4/15/2015,260,Metroline,Metroline,Willesden,Kensington & Chelsea,Female,Adult,Collision,Pedestrian,A pedestrian was involved in a collision with a bus and fatally injured.,Closed,No additional actions identified.,Inquest date: 07/07/17 - Medical cause of death was multiple injuries.
Q2,2015,4/19/2015,N89,London Central,Go-Ahead,Bexleyheath,Bexley,Male,Elderly,Collision,Pedestrian,A pedestrian was involved in a collision with a bus and seriously injured. The bus was travelling at excessive speed at the time of the incident. The pedestrian was taken to hospital and died on 27 April.,Closed,The operator will continue it's monitoring of driver rest periods and night worker health questionnaires. The operator's monitoring will comprise AA Drive Tech,
Q3,2016,8/15/2016,343,Abellio,Abellio,Walworth,Lewisham,Female,Elderly,Medical,Passenger,A passenger was reported to have collapsed on the bus after having passed out. The passenger did not respond to attempts to resuscitate. Cause of death confirmed as natural causes.,Closed,No improvement actions identified.,No inquest as death was from natural causes
